Date,Product,Quantity,Price
2024-06-29,B,7,450
2024-06-19,D,6,200
2024-06-05,D,4,200
2024-05-24,D,5,200
2024-05-06,B,5,450
2024-06-18,D,10,200
2024-06-25,D,5,200
2024-05-30,A,7,300
2024-05-23,C,8,150
2024-05-31,B,4,450
2024-06-23,C,8,150
2024-05-18,D,7,200
2024-06-19,D,8,200
2024-05-22,C,9,150
2024-06-25,A,9,300
2024-06-14,C,4,150
2024-05-08,A,3,300
2024-05-26,D,2,200
2024-06-07,D,2,200
2024-06-03,D,3,200
2024-05-29,C,8,150
2024-06-18,D,7,200
2024-05-02,D,2,200
2024-06-08,C,1,150
2024-06-15,D,9,200
2024-05-12,D,4,200
2024-06-03,B,6,450
2024-05-17,D,8,200
2024-06-23,A,1,300
2024-06-09,A,7,300
2024-06-05,B,3,450
2024-06-25,D,9,200
2024-06-25,D,8,200
2024-05-08,C,1,150
2024-05-31,C,10,150
2024-06-16,A,1,300
2024-05-03,C,8,150
2024-05-01,B,5,450
2024-06-21,D,6,200
2024-05-10,B,10,450
2024-05-22,A,1,300
2024-05-06,A,9,300
2024-05-16,C,5,150
2024-06-27,A,7,300
2024-05-15,C,1,150
2024-05-10,D,9,200
2024-05-16,A,5,300
2024-05-06,D,4,200
2024-06-15,B,3,450
2024-05-22,C,10,150
2024-06-17,B,7,450
2024-05-28,B,4,450
2024-06-29,C,9,150
2024-05-14,D,4,200
2024-06-05,A,9,300
2024-06-12,D,4,200
2024-05-15,B,4,450
2024-06-05,C,7,150
2024-06-05,B,1,450
2024-06-17,D,9,200
2024-06-29,D,4,200
2024-06-14,C,8,150
2024-05-15,B,3,450
2024-05-21,D,8,200
2024-05-17,D,5,200
2024-05-10,A,4,300
2024-05-20,A,6,300
2024-05-06,B,4,450
2024-05-06,B,4,450
2024-06-19,B,1,450
2024-05-21,A,3,300
2024-06-03,D,1,200
2024-05-17,D,7,200
2024-05-09,A,8,300
2024-05-04,A,6,300
2024-06-16,D,4,200
2024-06-06,A,10,300
2024-06-19,D,9,200
2024-05-25,C,4,150
2024-06-12,D,9,200
2024-06-04,D,9,200
2024-05-04,D,6,200
2024-05-05,C,8,150
2024-05-14,D,6,200
2024-05-19,A,9,300
2024-05-07,B,9,450
2024-06-10,D,3,200
2024-05-13,B,6,450
2024-05-30,B,6,450
2024-06-23,D,7,200
2024-05-05,B,1,450
2024-05-26,C,5,150
2024-05-10,D,9,200
2024-06-27,B,1,450
2024-05-07,A,5,300
2024-06-04,C,4,150
2024-05-11,D,3,200
2024-06-09,D,2,200
2024-06-19,A,10,300
2024-05-28,B,8,450
2024-05-20,B,5,450
2024-06-28,B,8,450
2024-06-16,D,2,200
2024-05-05,C,2,150
2024-05-05,D,10,200
2024-05-24,C,10,150
2024-06-26,A,10,300
2024-06-06,D,7,200
2024-06-30,B,1,450
2024-05-01,D,6,200
2024-05-31,C,5,150
2024-06-28,C,8,150
2024-05-12,C,3,150
2024-06-05,B,5,450
2024-05-07,D,8,200
2024-05-02,A,10,300
2024-05-14,B,9,450
2024-05-03,B,8,450
2024-06-21,A,2,300
2024-05-23,A,10,300
2024-06-17,A,6,300
2024-06-07,C,5,150
2024-06-07,D,4,200
2024-06-05,C,3,150
2024-06-25,D,6,200
2024-05-22,A,4,300
2024-06-02,C,5,150
2024-05-31,C,1,150
2024-06-21,B,3,450
2024-06-21,C,2,150
2024-06-13,D,8,200
2024-06-07,C,6,150
2024-05-27,A,3,300
2024-05-11,C,6,150
2024-05-01,B,4,450
2024-05-21,A,9,300
2024-06-05,A,1,300
2024-06-15,A,1,300
2024-05-22,D,9,200
2024-05-07,B,1,450
2024-06-08,D,4,200
2024-05-28,B,2,450
2024-05-23,D,3,200
2024-06-25,B,10,450
2024-06-23,A,3,300
2024-05-15,B,3,450
2024-05-17,C,9,150
2024-06-27,A,2,300
2024-05-22,B,6,450
2024-06-13,B,7,450
2024-05-21,B,3,450
2024-06-27,C,9,150
2024-05-11,C,9,150
2024-06-24,B,5,450
2024-05-13,A,1,300
2024-06-13,D,1,200
2024-05-15,C,4,150
2024-05-28,C,2,150
2024-06-30,A,2,300
2024-05-16,D,7,200
2024-05-26,B,6,450
2024-06-21,A,3,300
2024-05-10,A,6,300
2024-06-15,B,5,450
2024-06-02,D,6,200
2024-05-17,C,6,150
2024-06-01,A,9,300
2024-06-05,B,2,450
2024-06-22,A,3,300
2024-05-05,A,4,300
2024-06-12,C,9,150
2024-06-08,A,3,300
2024-05-04,A,9,300
2024-05-05,B,3,450
2024-06-08,B,6,450
2024-06-17,C,10,150
2024-06-25,D,5,200
2024-06-22,C,6,150
2024-06-30,B,6,450
2024-06-08,D,10,200
2024-05-29,C,2,150
2024-05-09,D,8,200
2024-06-25,A,1,300
2024-06-18,D,1,200
2024-05-08,A,5,300
2024-06-17,D,3,200
2024-05-29,B,6,450
2024-06-22,B,3,450
2024-06-13,C,9,150
2024-05-31,D,10,200
2024-05-11,A,5,300
2024-06-22,A,8,300
2024-06-05,B,6,450
2024-05-03,B,7,450
2024-05-11,A,5,300
2024-06-14,A,10,300
2024-06-20,A,1,300
2024-05-12,C,10,150
2024-06-19,A,4,300
2024-06-25,B,5,450
2024-05-26,D,3,200
2024-06-21,D,5,200
2024-06-06,C,1,150
2024-05-05,C,2,150
2024-06-20,A,6,300
2024-05-15,D,1,200
2024-05-27,D,9,200
2024-06-10,A,10,300
2024-05-31,B,2,450
2024-06-09,C,3,150
2024-05-15,B,5,450
2024-05-06,D,7,200
2024-06-24,C,8,150
2024-05-30,C,8,150
2024-06-29,B,8,450
2024-05-05,A,6,300
2024-06-08,A,6,300
2024-05-20,C,4,150
2024-05-20,D,5,200
2024-06-05,B,8,450
2024-06-05,D,10,200
2024-06-09,B,4,450
2024-06-26,B,1,450
2024-06-07,A,8,300
2024-06-24,C,5,150
2024-06-11,C,3,150
2024-06-19,A,4,300
2024-05-02,D,5,200
2024-06-22,D,6,200
2024-06-22,C,5,150
2024-05-30,B,5,450
2024-06-26,B,6,450
2024-06-11,C,7,150
2024-05-06,C,1,150
2024-06-21,C,8,150
2024-05-24,C,3,150
2024-06-20,A,5,300
2024-05-22,A,8,300
2024-06-16,C,1,150
2024-05-16,A,6,300
2024-06-07,B,10,450
2024-06-01,C,8,150
2024-06-06,A,10,300
2024-06-27,A,1,300
2024-05-28,A,1,300
2024-06-07,C,9,150
2024-05-09,D,7,200
2024-06-26,B,6,450
2024-05-01,A,1,300
2024-06-20,D,7,200
2024-05-09,C,3,150
2024-06-12,B,8,450
2024-05-03,A,9,300
2024-05-18,C,3,150
2024-05-08,B,6,450
2024-05-09,D,2,200
2024-05-29,D,4,200
2024-05-29,C,3,150
2024-06-14,D,1,200
2024-05-17,B,7,450
2024-06-12,C,5,150
2024-05-29,D,8,200
2024-05-18,C,8,150
2024-06-17,C,9,150
2024-06-30,C,9,150
2024-06-07,A,8,300
2024-06-21,A,8,300
2024-05-23,B,1,450
2024-05-15,A,1,300
2024-05-27,D,4,200
2024-06-10,A,10,300
2024-05-30,A,8,300
2024-05-30,D,5,200
2024-06-17,A,4,300
2024-06-11,A,3,300
2024-06-15,A,8,300
2024-05-08,C,9,150
2024-06-13,A,8,300
2024-06-26,C,8,150
2024-05-09,A,8,300
2024-05-04,B,9,450
2024-06-15,A,7,300
2024-05-19,D,2,200
2024-06-13,C,2,150
2024-05-02,A,9,300
2024-06-28,D,5,200
2024-05-20,A,4,300
2024-06-16,D,9,200
2024-05-29,A,1,300
2024-05-08,A,10,300
2024-05-08,D,4,200
2024-06-26,D,8,200
2024-05-25,A,2,300
2024-05-09,D,5,200
2024-06-05,A,5,300
2024-06-18,D,6,200
2024-06-16,A,4,300
2024-06-11,A,2,300
2024-05-19,D,5,200
2024-05-15,B,4,450
2024-05-31,C,10,150
2024-06-05,A,1,300
2024-05-31,A,2,300
2024-05-06,B,1,450
2024-06-20,D,8,200
2024-06-16,A,10,300
2024-05-07,A,10,300
2024-05-03,D,6,200
2024-05-22,B,5,450
2024-06-26,D,5,200
2024-05-22,C,4,150
2024-06-10,A,4,300
2024-06-04,D,4,200
2024-06-07,D,10,200
2024-05-25,A,8,300
2024-05-18,A,7,300
2024-05-05,A,9,300
2024-06-22,D,7,200
2024-05-19,C,9,150
2024-05-09,A,6,300
2024-06-18,B,1,450
2024-05-06,C,3,150
2024-05-08,D,2,200
2024-06-17,B,1,450
2024-06-24,C,10,150
2024-05-26,A,10,300
2024-05-03,B,4,450
2024-06-14,D,2,200
2024-05-31,A,2,300
2024-05-09,D,1,200
2024-05-12,B,5,450
2024-06-25,A,8,300
2024-06-30,D,2,200
2024-06-12,D,1,200
2024-06-02,A,2,300
2024-06-12,B,2,450
2024-06-22,B,2,450
2024-05-11,B,3,450
2024-05-24,A,1,300
2024-05-11,B,9,450
2024-05-29,D,10,200
2024-06-30,C,10,150
2024-05-09,A,6,300
2024-06-27,B,2,450
2024-05-08,A,2,300
2024-05-07,C,9,150
2024-06-01,C,8,150
2024-06-29,B,6,450
2024-06-18,B,4,450
2024-06-03,A,4,300
2024-06-28,D,7,200
2024-06-16,B,4,450
2024-05-21,D,5,200
2024-05-24,C,4,150
2024-06-13,C,8,150
2024-05-29,A,7,300
2024-05-14,A,8,300
2024-05-28,D,7,200
2024-05-22,A,1,300
2024-05-10,A,4,300
2024-06-09,B,10,450
2024-06-05,D,5,200
2024-06-03,C,1,150
2024-05-20,A,2,300
2024-05-27,D,9,200
2024-05-13,B,5,450
2024-06-18,C,4,150
2024-05-31,C,6,150
2024-05-20,D,3,200
2024-06-04,A,5,300
2024-05-29,C,3,150
2024-05-07,C,2,150
2024-05-20,B,7,450
2024-06-22,C,6,150
2024-05-09,D,9,200
2024-06-06,C,9,150
2024-05-04,D,9,200
2024-06-08,C,5,150
2024-06-08,B,8,450
2024-06-16,C,5,150
2024-06-12,C,4,150
2024-05-22,D,3,200
2024-06-11,B,4,450
2024-05-14,A,3,300
2024-05-22,D,5,200
2024-05-15,D,4,200
2024-06-25,C,4,150
2024-06-04,C,8,150
2024-05-12,B,7,450
2024-05-16,A,8,300
2024-05-15,D,3,200
2024-06-16,B,2,450
2024-05-12,D,3,200
2024-06-19,C,10,150
2024-05-27,C,4,150
2024-05-14,D,3,200
2024-06-05,D,5,200
2024-06-24,B,8,450
2024-05-17,B,9,450
2024-05-24,B,2,450
2024-05-03,C,3,150
2024-06-29,B,6,450
2024-05-14,B,4,450
2024-05-22,B,9,450
2024-05-06,C,7,150
2024-05-31,A,3,300
2024-05-30,B,10,450
2024-05-25,D,9,200
2024-05-05,C,8,150
2024-06-09,C,8,150
2024-06-27,D,7,200
2024-06-05,D,2,200
2024-06-23,D,4,200
2024-06-28,D,1,200
2024-05-14,A,2,300
2024-05-19,C,8,150
2024-05-03,A,7,300
2024-05-28,D,8,200
2024-05-24,A,6,300
2024-05-25,A,5,300
2024-06-13,C,8,150
2024-06-04,D,10,200
2024-06-15,D,6,200
2024-05-18,B,4,450
2024-06-05,D,7,200
2024-06-01,C,10,150
2024-05-17,D,3,200
2024-06-06,C,8,150
2024-06-26,C,4,150
2024-06-11,A,7,300
2024-05-29,B,5,450
2024-06-02,B,1,450
2024-06-21,C,7,150
2024-06-10,D,3,200
2024-05-27,B,5,450
2024-06-24,A,5,300
2024-06-18,A,7,300
2024-05-10,A,8,300
2024-05-18,A,5,300
2024-06-20,A,9,300
2024-06-06,D,2,200
2024-06-26,C,10,150
2024-05-31,A,2,300
2024-05-04,C,5,150
2024-05-05,B,8,450
2024-06-07,B,2,450
2024-06-27,A,6,300
2024-05-17,D,2,200
2024-05-29,A,3,300
2024-05-18,D,2,200
2024-05-20,B,6,450
2024-06-23,B,1,450
2024-05-13,D,3,200
2024-06-12,B,10,450
2024-05-21,D,10,200
2024-05-29,D,6,200
2024-06-02,B,1,450
2024-05-28,C,6,150
2024-05-19,D,6,200
2024-06-27,C,7,150
2024-05-03,B,6,450
2024-06-03,C,2,150
2024-06-23,B,6,450
2024-05-18,D,6,200
2024-06-14,D,9,200
2024-06-10,D,7,200
2024-06-06,B,7,450
2024-05-01,A,4,300
2024-05-10,D,2,200
2024-06-28,A,5,300
2024-06-05,B,10,450
2024-05-06,D,4,200
2024-05-08,A,10,300
2024-05-27,D,2,200
2024-06-03,A,2,300
2024-05-26,D,8,200
2024-06-15,D,10,200
2024-06-13,A,10,300
2024-06-13,B,8,450
2024-06-08,B,1,450
2024-05-16,A,7,300
2024-06-02,D,2,200
2024-06-10,B,1,450
2024-05-20,B,5,450
2024-05-04,C,2,150
2024-06-20,D,4,200
2024-05-16,D,10,200
2024-06-25,B,8,450
2024-05-17,A,4,300
2024-06-28,C,4,150
2024-05-26,B,5,450
2024-06-20,B,7,450
2024-06-06,C,3,150
2024-06-29,D,6,200
2024-05-19,D,7,200
2024-06-19,D,6,200
2024-05-28,B,6,450
2024-06-13,A,8,300
2024-05-13,D,2,200
2024-06-03,B,5,450
2024-06-22,D,10,200
2024-06-05,C,6,150
2024-05-25,C,9,150
2024-06-01,C,1,150
2024-06-29,A,1,300
2024-05-28,B,6,450
2024-06-27,D,1,200
2024-06-18,C,1,150
2024-05-11,B,2,450
2024-06-11,B,3,450
2024-05-02,A,10,300
2024-05-09,A,5,300
2024-06-22,D,4,200
2024-05-14,A,7,300
2024-05-25,C,9,150
2024-06-08,B,10,450
2024-06-13,B,10,450
2024-06-19,D,2,200
2024-06-07,C,9,150
2024-05-26,D,6,200
2024-06-30,D,6,200
2024-06-26,D,7,200
2024-06-25,A,7,300
2024-06-28,B,6,450
2024-05-28,C,2,150
2024-06-23,C,3,150
2024-06-08,A,3,300
2024-05-12,A,7,300
2024-05-10,D,9,200
2024-05-13,A,10,300
2024-05-24,A,2,300
2024-05-04,C,8,150
2024-06-09,C,6,150
2024-06-20,A,8,300
2024-06-15,B,2,450
2024-05-13,A,5,300
2024-05-04,A,4,300
2024-05-03,B,3,450
2024-06-19,C,7,150
2024-05-30,B,6,450
2024-05-04,C,6,150
2024-05-15,D,6,200
2024-06-06,A,8,300
2024-05-21,B,6,450
2024-05-21,D,9,200
2024-06-18,C,7,150
2024-05-23,B,9,450
2024-05-30,B,3,450
2024-06-09,D,6,200
2024-05-12,D,7,200
2024-05-04,B,10,450
2024-06-03,C,5,150
2024-05-23,C,5,150
2024-06-19,A,2,300
2024-06-05,D,4,200
2024-05-10,A,1,300
2024-05-12,D,3,200
2024-05-14,B,6,450
2024-06-04,C,6,150
2024-06-28,A,7,300
2024-05-11,B,6,450
2024-05-22,D,1,200
2024-05-26,A,1,300
2024-06-17,C,10,150
2024-05-27,D,4,200
2024-06-28,C,10,150
2024-05-16,B,10,450
2024-06-12,A,7,300
2024-05-08,C,2,150
2024-05-24,B,6,450
2024-06-12,C,1,150
2024-05-17,D,8,200
2024-05-12,B,9,450
2024-06-04,B,5,450
2024-05-01,B,6,450
2024-06-12,C,4,150
2024-06-07,C,7,150
2024-05-13,A,5,300
2024-06-06,B,7,450
2024-06-23,D,5,200
2024-05-03,A,4,300
2024-06-30,A,2,300
2024-05-31,D,3,200
2024-05-20,B,2,450
2024-06-11,B,10,450
2024-06-16,B,3,450
2024-06-07,B,2,450
2024-05-20,D,5,200
2024-05-21,A,3,300
2024-06-20,B,9,450
2024-06-06,A,5,300
2024-06-25,C,7,150
2024-05-10,B,7,450
2024-06-16,B,5,450
2024-05-21,C,1,150
2024-06-04,C,2,150
2024-05-06,B,2,450
2024-05-16,D,9,200
2024-06-04,C,5,150
2024-06-04,B,6,450
2024-06-24,B,1,450
2024-06-05,D,10,200
2024-05-10,D,4,200
2024-05-11,D,4,200
2024-06-25,A,9,300
2024-06-04,B,10,450
2024-05-13,D,9,200
2024-06-18,A,7,300
2024-06-10,C,7,150
2024-06-13,D,9,200
2024-05-11,A,6,300
2024-06-04,A,5,300
2024-05-24,A,4,300
2024-05-14,B,8,450
2024-06-16,D,9,200
2024-05-26,B,5,450
2024-06-24,B,1,450
2024-06-18,A,8,300
2024-05-04,C,7,150
2024-05-25,C,9,150
2024-06-02,B,6,450
2024-06-12,B,2,450
2024-06-16,A,5,300
2024-05-10,D,9,200
2024-06-12,B,2,450
2024-06-23,B,6,450
2024-06-14,B,2,450
2024-05-21,A,7,300
2024-06-15,C,9,150
2024-05-08,D,7,200
2024-06-12,D,8,200
2024-05-14,A,4,300
2024-06-05,A,8,300
2024-06-04,B,9,450
2024-05-01,A,5,300
2024-05-05,A,3,300
2024-05-25,D,2,200
2024-05-29,A,7,300
2024-05-08,A,10,300
2024-05-01,A,5,300
2024-05-19,D,5,200
2024-05-16,B,1,450
2024-05-01,D,3,200
2024-05-23,B,2,450
2024-06-20,C,1,150
2024-05-01,B,5,450
2024-06-13,A,6,300
2024-06-11,A,2,300
2024-05-03,C,6,150
2024-05-07,A,9,300
2024-05-08,A,2,300
2024-05-17,B,5,450
2024-05-05,B,4,450
2024-06-14,A,3,300
2024-06-19,C,2,150
2024-05-15,C,10,150
2024-06-06,A,10,300
2024-06-05,A,6,300
2024-05-29,B,5,450
2024-06-27,A,8,300
2024-06-07,C,9,150
2024-05-27,A,9,300
2024-06-23,B,6,450
2024-06-08,B,3,450
2024-06-16,B,1,450
2024-05-15,D,9,200
2024-06-07,C,9,150
2024-05-22,B,7,450
2024-06-30,B,2,450
2024-05-27,B,1,450
2024-06-27,A,8,300
2024-06-27,C,9,150
2024-05-23,C,6,150
2024-06-24,A,7,300
2024-06-23,C,4,150
2024-05-24,D,6,200
2024-05-06,A,4,300
2024-06-24,D,5,200
2024-06-15,B,7,450
2024-05-08,C,4,150
2024-06-04,C,1,150
2024-06-13,C,3,150
2024-05-17,C,7,150
2024-05-04,B,6,450
2024-05-24,C,9,150
2024-05-09,C,7,150
2024-06-30,C,6,150
2024-05-02,B,2,450
2024-05-06,C,3,150
2024-05-04,D,7,200
2024-06-01,D,6,200
2024-06-23,A,6,300
2024-05-22,D,4,200
2024-06-21,C,10,150
2024-06-27,D,10,200
2024-05-23,B,2,450
2024-05-27,D,6,200
2024-06-06,A,9,300
2024-05-13,C,9,150
2024-06-16,C,10,150
2024-06-28,D,4,200
2024-05-29,B,5,450
2024-06-25,B,5,450
2024-05-21,D,6,200
2024-06-28,C,6,150
2024-06-02,D,6,200
2024-05-23,A,10,300
2024-06-21,A,8,300
2024-05-12,C,8,150
2024-06-09,A,7,300
2024-05-14,B,10,450
2024-05-22,D,10,200
2024-06-17,D,8,200
2024-05-02,A,1,300
2024-06-29,B,3,450
2024-05-06,B,7,450
2024-05-24,A,10,300
2024-05-30,C,10,150
2024-06-28,C,3,150
2024-05-05,C,10,150
2024-05-14,D,6,200
2024-06-21,D,6,200
2024-05-30,A,8,300
2024-06-26,B,3,450
2024-06-27,C,9,150
2024-06-04,C,10,150
2024-05-22,B,9,450
2024-05-07,A,9,300
2024-06-07,B,2,450
2024-05-17,A,10,300
2024-06-17,D,8,200
2024-05-30,D,9,200
2024-06-17,D,3,200
2024-05-29,D,10,200
2024-06-10,A,7,300
2024-05-16,D,9,200
2024-05-02,C,10,150
2024-06-20,D,10,200
2024-05-21,D,10,200
2024-06-01,B,5,450
2024-06-14,C,1,150
2024-05-22,D,5,200
2024-05-11,C,4,150
2024-06-10,C,9,150
2024-06-16,D,6,200
2024-05-27,D,3,200
2024-05-16,A,2,300
2024-05-08,C,5,150
2024-05-23,A,7,300
2024-06-26,D,2,200
2024-05-21,D,10,200
2024-06-07,D,9,200
2024-06-23,C,5,150
2024-06-14,B,1,450
2024-05-30,A,10,300
2024-05-07,C,3,150
2024-05-27,B,8,450
2024-06-06,A,1,300
2024-06-07,D,8,200
2024-05-11,B,9,450
2024-05-08,A,5,300
2024-06-14,A,3,300
2024-06-30,C,10,150
2024-05-18,D,5,200
2024-06-13,B,3,450
2024-06-23,B,10,450
2024-06-19,B,6,450
2024-06-18,B,6,450
2024-06-28,A,7,300
2024-05-22,A,3,300
2024-06-05,A,7,300
2024-06-03,B,3,450
2024-05-12,D,10,200
2024-06-22,B,4,450
2024-05-12,D,5,200
2024-05-29,A,8,300
2024-06-30,A,3,300
2024-05-17,D,3,200
2024-05-10,A,1,300
2024-05-21,D,2,200
2024-06-01,D,10,200
2024-06-16,B,4,450
2024-05-28,A,5,300
2024-06-20,A,7,300
2024-05-28,C,1,150
2024-05-01,B,7,450
2024-06-26,C,10,150
2024-05-10,B,7,450
2024-05-23,D,2,200
2024-05-05,A,4,300
2024-05-15,D,3,200
2024-05-24,C,5,150
2024-05-02,A,6,300
2024-06-19,D,1,200
2024-05-14,A,7,300
2024-06-03,B,5,450
2024-06-24,B,6,450
2024-06-22,B,3,450
2024-05-30,B,4,450
2024-05-01,A,10,300
2024-05-03,A,3,300
2024-05-30,D,2,200
2024-05-04,D,2,200
2024-06-06,A,3,300
2024-05-11,C,3,150
2024-05-29,C,4,150
2024-06-10,C,4,150
2024-06-04,A,7,300
2024-05-07,D,4,200
2024-05-26,A,10,300
2024-05-15,A,5,300
2024-05-09,C,8,150
2024-06-03,C,5,150
2024-06-11,C,4,150
2024-05-29,C,1,150
2024-05-26,C,3,150
2024-05-13,A,5,300
2024-06-20,D,5,200
2024-05-19,B,7,450
2024-06-10,D,9,200
2024-05-01,C,4,150
2024-06-20,B,10,450
2024-05-17,A,1,300
2024-06-02,B,4,450
2024-05-29,C,10,150
2024-06-10,D,8,200
2024-06-15,C,10,150
2024-05-25,A,8,300
2024-06-15,A,4,300
2024-06-19,C,7,150
2024-06-12,B,10,450
2024-06-11,D,2,200
2024-05-24,B,3,450
2024-05-20,C,9,150
2024-05-06,A,10,300
2024-06-11,A,2,300
2024-06-26,C,3,150
2024-05-29,A,8,300
2024-06-24,C,1,150
2024-05-01,D,7,200
2024-06-10,A,9,300
2024-05-02,C,9,150
2024-06-23,A,2,300
2024-05-05,C,3,150
2024-06-23,B,3,450
2024-05-02,D,2,200
2024-06-25,A,10,300
2024-06-04,A,5,300
2024-05-18,A,3,300
2024-05-06,B,7,450
2024-06-19,B,7,450
2024-05-06,C,1,150
2024-05-11,B,4,450
2024-05-12,B,3,450
2024-05-26,B,2,450
2024-05-26,A,3,300
2024-05-26,C,10,150
2024-05-21,B,4,450
2024-05-06,D,5,200
2024-06-09,C,10,150
2024-05-26,D,6,200
2024-05-17,B,7,450
2024-06-24,B,2,450
2024-06-27,A,9,300
2024-05-07,C,2,150
2024-06-28,D,3,200
2024-05-22,A,3,300
2024-06-22,C,3,150
2024-05-25,D,5,200
2024-05-02,A,2,300
2024-06-30,A,1,300
2024-06-27,A,9,300
2024-05-16,D,3,200
2024-06-04,C,4,150
2024-06-03,B,2,450
2024-05-11,B,4,450
2024-06-03,A,5,300
2024-06-17,C,1,150
2024-05-28,B,4,450
2024-06-28,B,9,450
2024-06-06,B,4,450
2024-06-14,B,3,450
2024-05-08,B,9,450
2024-06-09,A,1,300
2024-06-15,B,7,450
2024-05-29,D,6,200
2024-05-25,D,10,200
2024-05-29,D,5,200
2024-05-02,C,5,150
2024-05-09,C,7,150
2024-05-08,C,9,150
2024-05-13,D,6,200
2024-06-26,C,4,150
2024-06-28,D,6,200
2024-05-26,A,2,300
2024-05-13,A,9,300
2024-05-09,D,2,200
2024-05-26,C,6,150
2024-06-19,A,3,300
